,0
ABE,0
ABI,1
ABQ,2
ABY,3
ACK,4
ACT,5
ACV,6
ACY,7
ADK,8
ADQ,9
AEX,10
AGS,11
AKN,12
ALB,13
ALO,14
AMA,15
ANC,16
APF,17
ASE,18
ATL,19
ATW,20
AUS,21
AVL,22
AVP,23
AZO,24
BDL,25
BET,26
BFL,27
BGM,28
BGR,29
BHM,30
BIL,31
BIS,32
BJI,33
BLI,34
BMI,35
BNA,36
BOI,37
BOS,38
BPT,39
BQK,40
BQN,41
BRO,42
BRW,43
BTM,44
BTR,45
BTV,46
BUF,47
BUR,48
BWI,49
BZN,50
CAE,51
CAK,52
CDC,53
CDV,54
CEC,55
CHA,56
CHO,57
CHS,58
CIC,59
CID,60
CLD,61
CLE,62
CLL,63
CLT,64
CMH,65
CMI,66
CMX,67
COD,68
COS,69
CPR,70
CRP,71
CRW,72
CSG,73
CVG,74
CWA,75
DAB,76
DAL,77
DAY,78
DBQ,79
DCA,80
DEN,81
DFW,82
DHN,83
DLG,84
DLH,85
DRO,86
DSM,87
DTW,88
EAU,89
EGE,90
EKO,91
ELM,92
ELP,93
ERI,94
EUG,95
EVV,96
EWN,97
EWR,98
EYW,99
FAI,100
FAR,101
FAT,102
FAY,103
FCA,104
FLG,105
FLL,106
FLO,107
FNT,108
FSD,109
FSM,110
FWA,111
GCC,112
GEG,113
GFK,114
GGG,115
GJT,116
GLH,117
GNV,118
GPT,119
GRB,120
GRK,121
GRR,122
GSO,123
GSP,124
GST,125
GTF,126
GTR,127
GUC,128
HDN,129
HHH,130
HLN,131
HNL,132
HOU,133
HPN,134
HRL,135
HSV,136
HTS,137
IAD,138
IAH,139
ICT,140
IDA,141
ILG,142
ILM,143
IND,144
INL,145
IPL,146
ISO,147
ISP,148
ITH,149
ITO,150
IYK,151
JAC,152
JAN,153
JAX,154
JFK,155
JNU,156
KOA,157
KTN,158
LAN,159
LAS,160
LAW,161
LAX,162
LBB,163
LCH,164
LEX,165
LFT,166
LGA,167
LGB,168
LIH,169
LIT,170
LMT,171
LNK,172
LRD,173
LSE,174
LWB,175
LWS,176
LYH,177
MAF,178
MBS,179
MCI,180
MCN,181
MCO,182
MDT,183
MDW,184
MEI,185
MEM,186
MFE,187
MFR,188
MGM,189
MHT,190
MIA,191
MKC,192
MKE,193
MKG,194
MLB,195
MLI,196
MLU,197
MOB,198
MOD,199
MOT,200
MQT,201
MRY,202
MSN,203
MSO,204
MSP,205
MSY,206
MTH,207
MTJ,208
MYR,209
OAJ,210
OAK,211
OGG,212
OKC,213
OMA,214
OME,215
ONT,216
ORD,217
ORF,218
OTH,219
OTZ,220
OXR,221
PBI,222
PDX,223
PFN,224
PHF,225
PHL,226
PHX,227
PIA,228
PIH,229
PIR,230
PIT,231
PLN,232
PMD,233
PNS,234
PSC,235
PSE,236
PSG,237
PSP,238
PVD,239
PWM,240
RAP,241
RDD,242
RDM,243
RDU,244
RFD,245
RHI,246
RIC,247
RKS,248
RNO,249
ROA,250
ROC,251
ROW,252
RST,253
RSW,254
SAN,255
SAT,256
SAV,257
SBA,258
SBN,259
SBP,260
SCC,261
SCE,262
SDF,263
SEA,264
SFO,265
SGF,266
SGU,267
SHV,268
SIT,269
SJC,270
SJT,271
SJU,272
SLC,273
SLE,274
SMF,275
SMX,276
SNA,277
SOP,278
SPI,279
SPS,280
SRQ,281
STL,282
STT,283
STX,284
SUN,285
SUX,286
SWF,287
SYR,288
TEX,289
TLH,290
TOL,291
TPA,292
TRI,293
TTN,294
TUL,295
TUP,296
TUS,297
TVC,298
TWF,299
TXK,300
TYR,301
TYS,302
VLD,303
VPS,304
WRG,305
WYS,306
XNA,307
YAK,308
YKM,309
YUM,310
