,source,target,weight,Distance
0,ABE,ATL,1804,692
1,ABE,BWI,1,121
2,ABE,CLE,1849,339
3,ABE,CLT,814,481
4,ABE,CVG,1000,503
5,ABE,DTW,1947,424
6,ABE,ORD,2692,654
7,ATL,ABE,1819,692
8,ATL,ABQ,2202,1269
9,ATL,ABY,2362,146
10,ATL,ACY,694,678
11,ATL,AEX,2021,500
12,ATL,AGS,4510,143
13,ATL,ALB,2501,852
14,ATL,ANC,224,3417
15,ATL,APF,538,540
16,ATL,ASE,14,1304
17,ATL,ATW,1710,765
18,ATL,AUS,4246,813
19,ATL,AVL,3477,164
20,ATL,AVP,1309,714
21,ATL,AZO,275,596
22,ATL,BDL,4212,859
23,ATL,BGM,217,749
24,ATL,BGR,744,1134
25,ATL,BHM,5385,134
26,ATL,BMI,4020,533
27,ATL,BNA,5579,214
28,ATL,BOI,185,1838
29,ATL,BOS,11509,946
30,ATL,BQK,1874,238
31,ATL,BTR,4953,449
32,ATL,BTV,1088,960
33,ATL,BUF,7181,712
34,ATL,BWI,11386,576
35,ATL,BZN,120,1641
36,ATL,CAE,4689,191
37,ATL,CAK,7011,528
38,ATL,CHA,3820,106
39,ATL,CHO,1717,457
40,ATL,CHS,8473,259
41,ATL,CID,840,694
42,ATL,CLE,5818,554
43,ATL,CLT,12520,227
44,ATL,CMH,2754,446
45,ATL,COS,1182,1185
46,ATL,CRP,619,876
47,ATL,CRW,2900,363
48,ATL,CSG,2809,83
49,ATL,CVG,5472,373
50,ATL,DAB,5248,366
51,ATL,DAY,7931,432
52,ATL,DCA,13566,547
53,ATL,DEN,11609,1199
54,ATL,DFW,19210,732
55,ATL,DHN,2971,171
56,ATL,DSM,2317,743
57,ATL,DTW,11517,594
58,ATL,EGE,208,1312
59,ATL,ELP,1265,1282
60,ATL,ERI,441,626
61,ATL,EVV,2508,350
62,ATL,EWN,1372,433
63,ATL,EWR,15441,745
64,ATL,EYW,1998,646
65,ATL,FAY,4283,331
66,ATL,FCA,46,1841
67,ATL,FLL,15105,581
68,ATL,FLO,1239,273
69,ATL,FNT,6215,644
70,ATL,FSD,471,954
71,ATL,FSM,1002,579
72,ATL,FWA,1961,508
73,ATL,GNV,3877,300
74,ATL,GPT,5840,352
75,ATL,GRB,412,774
76,ATL,GRK,1392,803
77,ATL,GRR,2762,640
78,ATL,GSO,5421,306
79,ATL,GSP,4508,153
80,ATL,GTR,1923,241
81,ATL,GUC,2,1301
82,ATL,HDN,213,1340
83,ATL,HHH,1737,239
84,ATL,HNL,1238,4502
85,ATL,HOU,7249,696
86,ATL,HPN,4706,780
87,ATL,HSV,4484,151
88,ATL,HTS,65,342
89,ATL,IAD,10453,533
90,ATL,IAH,10051,689
91,ATL,ICT,6205,781
92,ATL,ILG,429,642
93,ATL,ILM,4003,377
94,ATL,IND,6858,432
95,ATL,ISO,7,406
96,ATL,ISP,854,795
97,ATL,JAC,210,1572
98,ATL,JAN,4978,341
99,ATL,JAX,11184,270
100,ATL,JFK,3334,760
101,ATL,LAN,285,630
102,ATL,LAS,9492,1747
103,ATL,LAW,537,804
104,ATL,LAX,10777,1946
105,ATL,LEX,3667,303
106,ATL,LFT,2034,503
107,ATL,LGA,19881,761
108,ATL,LIT,4630,453
109,ATL,LWB,372,369
110,ATL,LYH,1453,389
111,ATL,MCI,8152,692
112,ATL,MCN,1601,79
113,ATL,MCO,18959,403
114,ATL,MDT,3515,619
115,ATL,MDW,7532,590
116,ATL,MEI,1318,267
117,ATL,MEM,10120,332
118,ATL,MFE,673,974
119,ATL,MGM,4807,147
120,ATL,MHT,1797,952
121,ATL,MIA,13284,595
122,ATL,MKE,7060,669
123,ATL,MLB,3738,443
124,ATL,MLI,4638,633
125,ATL,MLU,2225,448
126,ATL,MOB,4282,302
127,ATL,MSN,1035,707
128,ATL,MSP,11135,906
129,ATL,MSY,9224,425
130,ATL,MTH,124,647
131,ATL,MTJ,52,1352
132,ATL,MYR,3917,317
133,ATL,OAJ,2269,399
134,ATL,OAK,703,2130
135,ATL,OGG,1,4431
136,ATL,OKC,3547,761
137,ATL,OMA,3681,821
138,ATL,ONT,1781,1900
139,ATL,ORD,14641,606
140,ATL,ORF,5171,516
141,ATL,PBI,8656,545
142,ATL,PDX,2281,2172
143,ATL,PFN,4759,247
144,ATL,PHF,7219,508
145,ATL,PHL,12965,665
146,ATL,PHX,8969,1587
147,ATL,PIA,1546,564
148,ATL,PIT,8960,526
149,ATL,PNS,8788,272
150,ATL,PSP,94,1840
151,ATL,PVD,2829,903
