,pos,time_zone
ABE,"(-75.44040167, 40.65236278)",America/New_York
ABI,"(-99.68189722, 32.41132)",America/Chicago
ABQ,"(-106.6091944, 35.04022222)",America/Denver
ABY,"(-84.19447333, 31.535515000000004)",America/New_York
ACK,"(-70.06018139, 41.25305194)",America/New_York
ACT,"(-97.23051917, 31.61128833)",America/Chicago
ACV,"(-124.1086189, 40.97811528)",America/Los_Angeles
ACY,"(-74.57716667, 39.45758333)",America/New_York
ADK,"(-176.6460306, 51.87796389)",America/Adak
ADQ,"(-152.4938553, 57.74996778)",America/Anchorage
AEX,"(-92.54855611, 31.32737167)",America/Chicago
AGS,"(-81.96449611, 33.369955)",America/New_York
AKN,"(-156.6492175, 58.67680167)",America/Anchorage
ALB,"(-73.80297861, 42.74811944)",America/New_York
ALO,"(-92.40034361, 42.55708139)",America/Chicago
AMA,"(-101.7059272, 35.2193725)",America/Chicago
ANC,"(-149.9961856, 61.17432028)",America/Anchorage
APF,"(-81.77544444, 26.15247222)",America/New_York
ASE,"(-106.868845, 39.22316)",America/Denver
ATL,"(-84.42694444, 33.64044444)",America/New_York
ATW,"(-88.51947556, 44.25740806)",America/Chicago
AUS,"(-97.66987194, 30.19453278)",America/Chicago
AVL,"(-82.54180556, 35.43619444)",America/New_York
AVP,"(-75.72426750000001, 41.33814944)",America/New_York
AZO,"(-85.55205749999999, 42.234875)",America/Detroit
BDL,"(-72.68322833, 41.93887417)",America/New_York
BET,"(-161.8379975, 60.77977639)",America/Anchorage
BFL,"(-119.05676809999999, 35.43359806)",America/Los_Angeles
BGM,"(-75.97961361, 42.20848278)",America/New_York
BGR,"(-68.82813889, 44.80744444)",America/New_York
BHM,"(-86.75354972, 33.56294306)",America/Chicago
BIL,"(-108.54286110000001, 45.8076625)",America/Denver
BIS,"(-100.74672220000001, 46.77411111)",America/Chicago
BJI,"(-94.93372333, 47.50942417)",America/Chicago
BLI,"(-122.53752779999999, 48.79275)",America/Los_Angeles
BMI,"(-88.91595278, 40.47798556)",America/Chicago
BNA,"(-86.67818222, 36.12447667)",America/Chicago
BOI,"(-116.22277779999999, 43.56444444)",America/Boise
BOS,"(-71.00517917, 42.3643475)",America/New_York
BPT,"(-94.02069444, 29.95083333)",America/Chicago
BQK,"(-81.46630556, 31.25902778)",America/New_York
BQN,"(-67.12944444, 18.49486111)",America/Puerto_Rico
BRO,"(-97.42586111, 25.90683333)",America/Chicago
BRW,"(-156.76600190000002, 71.2854475)",America/Anchorage
BTM,"(-112.49746, 45.95479528)",America/Denver
BTR,"(-91.14963444, 30.53316083)",America/Chicago
BTV,"(-73.1503125, 44.47300361)",America/New_York
BUF,"(-78.73216667, 42.94052472)",America/New_York
BUR,"(-118.3584969, 34.20061917)",America/Los_Angeles
BWI,"(-76.66819833, 39.17540167)",America/New_York
BZN,"(-111.15300719999999, 45.77690139)",America/Denver
CAE,"(-81.11953944, 33.93884)",America/New_York
CAK,"(-81.44246556, 40.91631194)",America/New_York
CDC,"(-113.098575, 37.70097028)",America/Denver
CDV,"(-145.4776503, 60.49183389)",America/Anchorage
CEC,"(-124.23653329999999, 41.78015722)",America/Los_Angeles
CHA,"(-85.20378778, 35.03526833)",America/New_York
CHO,"(-78.45286111, 38.13863889)",America/New_York
CHS,"(-80.04050583, 32.89864639)",America/New_York
CIC,"(-121.8584231, 39.79538278)",America/Los_Angeles
CID,"(-91.71087222, 41.88458833)",America/Chicago
CLD,"(-117.278727, 33.127231)",America/Los_Angeles
CLE,"(-81.84939667, 41.41089417)",America/New_York
CLL,"(-96.36382417, 30.58858944)",America/Chicago
CLT,"(-80.94312583, 35.21401111)",America/New_York
CMH,"(-82.89188278, 39.99798528)",America/New_York
CMI,"(-88.27805556, 40.03925)",America/Chicago
CMX,"(-88.48906083, 47.16841722)",America/Detroit
COD,"(-109.02379609999998, 44.52019417)",America/Denver
COS,"(-104.70025, 38.80580556)",America/Denver
CPR,"(-106.46446609999998, 42.90835556)",America/Denver
CRP,"(-97.50121528, 27.77036083)",America/Chicago
CRW,"(-81.59318972, 38.37315083)",America/New_York
CSG,"(-84.93886111, 32.51633333)",America/New_York
CVG,"(-84.6621725, 39.04614278)",America/New_York
CWA,"(-89.66677944, 44.77761917)",America/Chicago
DAB,"(-81.05805556, 29.17991667)",America/New_York
DAL,"(-96.85177222, 32.84711389)",America/Chicago
DAY,"(-84.219375, 39.90237583)",America/New_York
DBQ,"(-90.70916722, 42.40295944)",America/Chicago
DCA,"(-77.03772222, 38.85208333)",America/New_York
DEN,"(-104.6670019, 39.85840806)",America/Denver
